15
300 5000
110 145 3
86 33 3
225 7 1
140 195 3
44 142 1
148 14 1
123 88 3
247 76 1
12 223 1
176 88 2
44 186 2
84 196 1
188 126 3
2 80 1
9 134 1
229 58 2
56 179 2
153 126 2
134 225 1
209 103 2
213 236 1
33 11 3
157 178 1
180 34 1
170 202 3
134 165 2
75 82 1
25 211 2
137 140 3
50 102 2
148 69 2
97 60 1
64 71 3
5 217 1
175 41 3
204 78 1
193 30 2
23 173 3
105 25 3
148 196 3
113 213 3
154 63 1
20 42 3
110 104 2
231 129 1
226 249 3
231 63 2
3 107 2
94 237 2
157 51 1
184 126 3
50 87 1
234 239 2
221 127 2
232 45 3
240 51 1
181 28 1
120 213 2
171 178 3
209 117 3
29 99 3
16 222 1
69 98 3
137 25 1
94 29 3
53 64 1
173 125 2
134 102 3
130 183 2
48 13 2
33 162 1
213 117 1
174 198 2
111 238 1
33 92 2
141 201 1
103 13 3
82 249 2
198 101 3
36 21 2
142 19 2
215 3 2
165 77 2
102 73 2
180 108 2
251 110 2
100 42 3
100 53 1
121 15 1
119 23 3
23 31 3
178 41 1
121 162 3
37 56 3
137 226 3
94 208 1
102 133 2
107 85 3
240 23 1
64 203 3
228 126 1
131 171 1
22 69 1
65 70 1
67 13 3
59 159 2
198 47 3
156 117 1
202 40 1
143 40 2
141 193 1
231 161 3
122 63 3
89 154 3
186 55 3
195 196 1
231 173 2
170 173 2
190 30 2
216 196 1
83 133 3
249 174 1
23 183 2
66 157 1
3 88 1
95 100 1
132 141 2
122 112 2
82 179 1
210 106 1
28 29 3
240 221 3
223 10 1
149 176 3
26 141 3
184 195 3
73 27 2
176 229 2
182 124 1
172 198 1
110 86 3
175 1 2
209 115 2
53 76 2
240 247 1
201 197 1
83 86 1
165 152 3
210 33 2
179 194 3
193 54 1
20 12 3
207 35 2
32 149 1
216 3 2
2 143 1
211 122 3
47 91 2
66 126 1
25 23 1
7 146 1
207 108 1
190 84 1
180 248 2
97 125 3
96 7 2
26 5 2
20 2 2
94 190 3
158 68 1
195 96 3
191 201 3
156 133 2
247 192 3
126 70 1
225 52 1
43 40 3
87 66 2
218 190 1
5 121 1
50 169 1
192 53 2
140 179 1
62 202 3
231 122 2
155 148 3
169 194 1
156 6 1
14 40 2
51 27 1
127 46 1
51 9 3
26 249 1
107 42 1
241 28 3
43 246 1
45 94 1
134 234 2
45 177 2
87 164 2
180 60 3
48 188 3
29 213 3
114 7 3
23 125 2
14 130 2
242 177 2
142 146 1
89 117 3
85 196 1
74 64 2
244 26 3
22 168 2
7 142 1
8 172 1
173 190 1
190 117 3
61 227 3
47 95 2
143 70 2
133 244 1
9 252 3
223 40 3
124 188 1
227 135 2
99 169 3
17 1 2
108 147 2
134 84 2
154 67 2
192 23 3
186 170 1
157 76 1
76 174 2
50 174 1
210 221 2
180 221 3
76 74 2
249 33 3
201 24 3
13 239 1
5 175 1
43 73 3
189 97 1
241 6 3
60 157 1
221 164 1
94 113 2
215 185 1
48 43 3
177 197 3
6 129 3
54 142 3
82 19 3
225 16 1
62 30 1
175 199 3
184 185 3
1 77 3
248 160 3
170 154 2
250 104 2
53 185 1
168 27 3
53 224 1
199 201 3
122 222 1
114 89 3
75 141 1
197 107 2
8 84 2
80 200 2
47 152 3
247 83 1
25 111 1
223 146 2
145 182 2
231 8 3
157 154 2
217 6 2
82 137 3
22 32 2
33 127 1
148 5 2
141 24 2
216 229 1
223 155 2
183 247 1
6 60 3
230 224 1
50 105 1
26 138 2
236 125 3
91 217 1
140 244 1
65 11 1
165 127 3
133 96 3
166 248 2
44 74 3
122 96 1
244 24 2
81 136 2
15 178 1
59 142 2
66 100 2
44 54 1
222 41 1
60 155 2
180 171 1
168 88 1
239 247 3
61 175 1
132 86 3
49 178 3
164 88 1
141 129 1
35 153 2
56 197 1
11 147 3
173 199 3
31 170 3
110 107 3
179 133 2
75 95 1
195 174 2
218 156 2
17 163 3
7 13 1
194 233 1
223 151 1
160 201 2
217 239 2
219 97 1
63 199 2
91 137 3
168 11 2
38 142 1
55 30 1
219 180 1
72 17 3
154 127 2
55 172 3
192 77 1
250 56 2
155 202 1
88 118 1
219 125 2
4 224 3
129 36 2
164 217 1
87 118 2
7 104 3
93 32 3
190 110 2
144 69 1
222 169 3
50 141 2
51 19 3
193 163 1
46 151 2
152 116 2
233 162 1
101 123 3
19 162 2
142 94 1
190 235 1
238 227 3
193 10 2
169 242 3
191 52 2
122 31 1
186 170 1
132 126 3
16 118 3
236 17 1
73 2 1
189 75 3
4 88 2
175 20 3
40 157 1
232 217 3
79 53 2
71 244 3
72 86 1
115 77 2
109 188 2
62 112 3
99 133 2
68 189 2
16 8 2
144 133 1
191 244 3
139 235 2
91 53 2
218 137 1
226 252 1
106 72 1
35 164 3
14 80 3
230 101 2
242 190 2
121 16 2
44 208 3
212 239 3
231 169 2
88 86 3
84 160 1
216 42 2
35 151 3
235 194 1
84 156 1
41 166 3
240 159 3
16 145 2
29 147 2
143 250 1
180 135 3
86 73 3
192 231 1
172 162 1
3 117 2
232 163 3
165 50 2
233 30 1
150 174 3
10 173 2
40 236 3
150 102 1
20 145 3
185 252 3
206 6 3
222 126 3
57 252 2
93 153 2
219 24 3
126 57 3
217 180 2
69 26 1
68 37 2
131 246 1
167 18 2
146 183 3
186 133 1
131 95 3
87 63 1
150 49 2
13 94 1
125 52 1
108 45 2
192 121 3
49 85 1
98 75 1
146 147
1 2 6
2 3 3
3 4 3
4 5 3
5 6 3
6 7 3
7 8 6
8 9 3
9 10 3
10 11 6
11 12 6
12 13 6
13 14 6
14 15 3
15 16 3
16 17 3
17 18 3
18 19 3
19 20 6
20 21 6
21 22 6
22 23 6
23 24 6
24 25 3
25 26 3
26 27 3
27 28 3
28 29 6
29 30 3
30 31 6
31 32 6
32 33 6
33 34 3
34 35 6
35 36 6
36 37 3
37 38 6
38 39 6
39 40 6
40 41 6
41 42 6
42 43 3
43 44 6
44 45 3
45 46 3
46 47 3
47 48 6
48 49 6
49 146 6
1 50 16
50 51 13
51 52 13
52 53 13
53 54 16
54 55 16
55 56 16
56 57 13
57 58 13
58 59 13
59 60 16
60 61 16
61 62 16
62 63 13
63 64 13
64 65 16
65 66 13
66 67 16
67 68 13
68 69 13
69 70 13
70 71 13
71 72 13
72 73 13
73 74 13
74 75 16
75 76 16
76 77 13
77 78 16
78 79 13
79 80 13
80 81 16
81 82 16
82 83 13
83 84 13
84 85 16
85 86 16
86 87 16
87 88 13
88 89 13
89 90 13
90 91 13
91 92 16
92 93 16
93 94 13
94 95 16
95 96 16
96 97 13
97 146 16
1 98 26
98 99 23
99 100 26
100 101 26
101 102 26
102 103 23
103 104 23
104 105 23
105 106 26
106 107 26
107 108 26
108 109 23
109 110 23
110 111 26
111 112 23
112 113 26
113 114 23
114 115 26
115 116 23
116 117 26
117 118 23
118 119 23
119 120 23
120 121 23
121 122 23
122 123 26
123 124 23
124 125 23
125 126 26
126 127 23
127 128 23
128 129 26
129 130 26
130 131 26
131 132 23
132 133 26
133 134 26
134 135 26
135 136 23
136 137 23
137 138 23
138 139 26
139 140 23
140 141 23
141 142 23
142 143 26
143 144 23
144 145 23
145 146 23
300 2985
138 174 2
195 171 1
272 232 1
104 222 1
88 108 2
294 275 1
106 250 1
33 223 2
250 213 2
83 60 2
91 86 2
181 110 2
117 224 1
294 72 1
208 160 1
271 125 1
32 204 1
167 195 2
115 204 2
129 127 2
218 173 1
155 280 2
160 226 2
266 81 2
153 76 2
283 76 1
291 127 2
253 179 2
145 37 2
293 48 2
14 99 2
180 187 2
155 175 1
243 300 2
200 155 2
246 85 1
249 31 1
56 5 2
123 75 1
54 35 1
77 271 1
128 160 1
150 143 2
137 59 1
237 299 2
298 261 2
183 228 2
265 248 1
247 287 2
87 250 1
229 53 1
245 100 2
101 13 1
120 45 1
204 226 1
284 146 1
163 267 2
188 60 1
15 176 1
234 274 2
120 232 2
297 124 2
231 74 2
197 176 1
208 126 1
166 291 2
184 76 2
75 94 2
220 217 2
25 200 1
165 51 1
236 74 1
136 193 1
53 165 2
65 156 2
153 159 2
226 107 1
119 254 2
260 198 1
136 256 2
104 77 1
293 182 1
216 201 1
18 74 1
295 137 2
262 104 2
64 273 2
48 92 1
142 41 2
205 9 1
193 197 2
284 286 2
19 127 2
147 297 2
242 129 1
69 294 1
240 297 2
60 26 1
203 130 2
187 262 1
255 50 2
233 264 1
60 295 1
210 98 2
20 60 1
190 207 1
232 105 1
241 83 2
114 167 2
36 84 1
286 189 2
291 102 1
119 203 1
250 55 1
21 207 2
215 273 2
118 25 2
164 81 2
206 239 1
33 284 1
107 86 2
197 13 2
148 44 1
292 15 1
219 128 1
263 13 1
269 236 2
250 213 2
102 68 1
191 142 1
276 166 1
173 278 1
247 161 1
298 133 2
236 157 1
195 154 2
67 94 1
242 167 2
48 94 1
245 39 1
186 286 1
63 50 1
74 72 2
70 160 2
117 227 2
144 223 2
293 216 2
40 191 2
246 290 2
170 13 1
217 128 1
246 107 2
83 232 2
61 6 2
180 15 2
46 151 1
63 89 1
52 26 1
297 263 2
78 212 2
16 48 1
104 219 1
118 100 2
227 258 2
45 241 2
75 296 2
284 56 2
259 282 1
4 82 2
178 263 2
225 208 2
136 161 2
186 160 1
55 35 1
214 299 1
53 194 1
274 53 1
294 48 2
269 39 2
206 278 2
48 273 1
269 184 1
278 168 1
76 202 2
83 18 2
274 128 1
293 70 2
151 105 1
283 92 1
149 55 1
100 216 1
104 95 1
111 280 1
85 81 2
149 40 2
59 245 2
262 129 1
8 70 1
119 220 1
223 114 2
40 193 2
266 23 2
163 106 2
284 87 2
255 119 2
145 269 2
274 149 1
278 206 2
227 237 1
37 81 2
257 8 1
12 133 1
39 17 1
105 93 2
119 232 1
223 121 1
170 31 2
55 135 2
229 79 1
188 119 1
210 206 1
100 138 1
178 262 1
216 91 2
239 241 2
114 238 2
106 172 1
18 299 2
159 99 2
263 191 1
187 121 1
115 75 2
47 165 1
60 13 2
9 219 1
281 272 2
289 81 2
122 200 1
154 151 2
162 175 1
26 226 2
137 44 1
292 114 2
17 70 2
188 152 1
192 49 2
74 33 2
101 34 2
204 24 1
94 30 2
217 154 2
31 52 1
146 110 1
224 212 1
230 60 1
144 193 2
262 185 2
196 129 1
23 112 2
263 192 2
260 232 2
181 163 1
68 207 2
294 59 2
228 140 1
51 40 2
127 153 1
16 62 2
241 253 2
145 30 2
76 237 2
248 185 2
193 21 1
162 183 1
109 175 1
199 224 1
171 139 1
69 164 1
296 159 2
68 248 2
254 278 2
26 94 2
65 54 1
194 146 2
54 158 1
30 238 1
3 227 1
179 164 1
170 40 1
221 114 2
124 119 1
120 293 2
47 182 1
249 297 2
276 18 2
115 28 2
203 173 2
120 140 1
169 142 1
158 121 1
198 58 1
27 224 2
10 68 1
45 46 1
202 39 2
100 169 2
178 2 2
263 50 1
61 281 1
158 118 2
76 264 1
85 197 1
34 21 1
153 190 1
3 227 1
212 273 2
73 266 2
198 24 1
5 69 2
10 217 2
236 149 1
247 206 2
11 39 2
245 204 2
205 161 1
251 186 2
92 84 2
142 110 2
52 149 1
266 148 1
255 123 2
129 33 2
236 295 2
144 159 2
106 237 1
85 265 1
208 124 2
276 75 1
278 99 2
275 63 1
28 151 1
78 241 2
194 254 2
218 296 2
266 264 1
144 186 1
235 126 2
109 283 1
24 70 2
194 184 1
46 161 1
63 164 2
296 154 2
266 108 2
120 1 2
169 289 1
180 44 1
226 57 1
87 247 1
60 79 1
225 105 2
40 172 1
93 147 2
52 220 2
82 32 1
10 125 2
217 289 2
93 275 1
134 203 2
244 62 2
212 118 2
90 115 2
215 188 2
111 74 2
105 74 1
170 200 2
197 118 1
265 49 2
148 288 2
187 202 1
220 79 2
101 67 2
73 118 2
165 224 1
252 28 2
164 228 1
59 137 1
139 118 2
254 181 1
208 64 2
191 6 1
195 70 2
117 90 2
158 49 1
27 273 1
77 252 1
9 139 1
3 38 1
228 284 1
12 17 1
247 231 2
290 1 2
97 154 1
88 24 2
183 293 1
69 203 2
294 254 1
115 212 2
249 268 1
1 142 1
76 157 2
144 11 1
234 81 2
68 109 2
261 275 2
5 231 1
43 223 1
116 143 2
52 30 2
88 25 2
50 127 2
262 55 2
257 30 2
130 111 1
191 293 1
199 223 1
276 90 2
220 169 2
251 181 1
76 245 1
85 106 2
47 206 2
46 77 2
194 214 1
299 73 1
54 259 1
161 193 2
186 252 2
68 60 2
175 193 2
154 175 1
183 241 2
146 242 1
108 244 2
212 135 2
59 77 2
283 76 2
8 195 1
74 226 2
150 247 2
239 44 2
89 157 2
182 190 2
124 297 1
128 256 2
125 127 1
197 167 2
123 220 1
159 230 2
241 174 2
19 42 1
205 236 2
137 204 1
178 11 1
34 108 1
282 153 2
81 212 1
80 170 2
220 167 2
168 44 2
198 104 2
135 248 1
247 201 2
65 106 2
268 8 2
36 219 1
43 243 2
296 147 2
175 190 2
198 35 2
182 56 2
207 122 1
34 142 1
65 132 2
216 102 2
268 135 2
50 255 1
70 59 2
285 214 1
223 78 1
144 102 2
4 256 1
19 131 2
51 236 1
41 73 1
96 137 1
178 126 2
158 29 2
234 285 2
223 230 1
90 280 1
17 188 2
43 190 2
73 219 2
163 127 1
103 131 1
122 170 2
275 56 1
224 13 1
2 278 2
213 69 1
244 57 2
237 208 2
151 267 2
19 128 1
261 2 2
126 242 1
109 6 2
242 80 1
144 12 2
106 18 1
96 107 1
245 211 1
24 160 2
57 227 2
194 114 2
36 21 2
40 297 1
66 200 1
292 57 2
183 290 2
136 90 2
106 125 1
258 199 1
118 81 2
132 69 1
260 52 1
246 197 2
272 259 1
198 8 2
44 202 1
162 256 1
46 58 2
59 208 1
71 234 2
295 259 1
16 4 1
87 171 1
67 155 1
281 66 1
96 130 2
91 198 2
62 141 1
171 4 2
38 212 2
244 250 2
88 2 2
150 194 1
116 202 1
284 283 1
279 24 2
299 3 1
98 170 1
164 245 1
233 240 2
228 11 1
137 19 2
155 159 1
277 82 1
79 30 2
92 99 1
64 97 1
138 77 2
98 55 2
272 26 2
197 105 2
258 84 1
179 196 1
125 156 1
73 32 2
87 271 1
228 51 2
5 241 2
69 54 2
44 218 1
99 16 2
83 137 1
56 193 1
207 295 2
140 158 2
10 295 1
65 257 1
27 294 1
36 226 1
150 123 1
76 100 2
83 249 2
200 114 1
197 63 1
66 215 1
180 131 1
46 35 2
17 280 1
15 85 2
266 9 1
66 247 2
178 149 1
203 197 1
223 193 2
131 145 2
56 255 1
95 194 1
237 83 1
282 141 2
182 144 1
13 243 2
206 175 1
142 158 1
264 56 1
169 299 2
217 104 1
19 80 2
215 106 2
227 91 2
63 297 1
42 281 2
73 193 1
116 239 2
81 134 2
53 110 1
27 43 1
101 5 1
185 113 1
150 180 2
281 15 1
155 125 2
288 256 2
45 67 2
230 107 2
251 267 2
288 102 2
14 99 1
246 183 1
221 18 1
215 117 2
52 79 2
52 144 1
184 34 1
183 172 2
157 291 2
251 190 2
61 10 2
66 191 1
277 4 2
252 131 2
265 64 2
151 73 2
233 155 2
125 243 2
183 116 2
80 191 1
106 198 1
264 112 1
51 230 2
253 183 1
249 281 1
155 133 1
75 21 2
101 63 1
162 53 1
207 30 1
208 6 2
242 252 2
136 283 1
135 295 1
250 286 2
162 259 1
300 201 1
71 98 2
26 97 1
119 173 1
88 73 1
280 58 2
79 28 2
114 56 2
33 194 2
50 293 1
27 70 2
228 184 1
281 270 1
235 9 1
246 208 2
92 194 2
203 192 2
241 280 1
32 94 2
273 185 2
18 93 2
155 268 2
218 23 1
85 229 1
285 94 1
262 26 2
22 113 1
254 33 1
205 57 2
44 232 1
176 148 2
249 189 1
3 245 1
30 265 2
213 197 1
232 285 1
77 124 2
155 13 2
265 134 2
107 197 1
58 25 1
166 174 2
233 255 1
18 246 2
19 246 2
174 53 1
168 194 1
114 79 2
251 159 2
109 187 1
217 285 1
58 161 1
109 220 1
240 262 1
256 56 1
143 91 1
86 1 2
187 111 2
34 171 1
143 58 1
209 26 1
98 23 2
67 122 2
259 283 1
80 84 1
160 153 1
213 118 2
257 113 2
50 211 1
207 71 2
46 33 1
247 171 1
198 206 2
147 164 1
94 130 1
162 34 1
157 162 1
115 148 2
125 99 2
241 157 1
143 97 2
133 240 1
160 97 1
173 199 2
115 120 1
256 298 2
35 275 2
234 100 1
165 40 2
184 148 1
95 157 1
71 57 1
155 282 1
95 212 2
137 153 2
119 283 2
152 281 1
215 94 1
181 72 2
38 246 1
34 166 1
266 75 1
73 186 2
30 186 1
39 50 2
45 113 1
9 128 2
77 1 1
28 79 2
34 180 2
98 108 2
104 182 2
225 189 1
124 264 2
191 68 1
83 119 2
242 190 1
272 7 1
109 207 1
136 131 1
2 262 2
292 232 2
90 52 1
284 56 1
225 211 2
271 6 1
26 103 1
127 154 1
107 131 2
30 252 2
242 73 1
258 52 2
28 119 2
18 128 2
230 265 2
94 25 2
4 91 1
111 31 2
247 281 1
23 212 1
219 57 2
165 122 2
141 219 2
13 16 2
285 103 1
161 44 1
52 89 2
34 199 1
275 135 1
55 16 1
194 14 1
92 184 2
87 179 2
95 238 2
291 120 1
6 41 1
244 270 2
209 246 1
236 72 1
172 184 1
137 224 2
52 78 2
24 98 2
247 239 1
239 160 1
128 143 1
6 22 2
145 26 2
158 22 2
199 137 1
6 251 1
257 60 1
59 88 1
56 158 1
83 288 2
275 163 2
70 51 2
9 232 2
271 175 2
243 128 2
241 178 1
223 56 1
232 30 2
220 286 2
139 179 1
264 125 1
227 139 1
171 40 2
141 206 1
110 265 1
75 256 1
60 261 1
195 11 1
257 141 1
84 46 1
147 268 1
162 250 2
91 184 2
155 284 1
159 246 2
15 87 1
148 109 2
141 48 1
51 219 1
229 153 1
78 177 2
229 139 1
240 253 2
106 136 2
5 33 1
298 12 2
288 155 2
127 157 1
100 129 1
55 174 2
283 165 2
265 231 2
245 239 2
104 132 1
181 6 1
208 121 1
286 102 2
224 272 2
168 196 1
219 170 1
70 248 2
116 18 2
150 297 1
269 213 2
220 179 2
88 120 1
215 36 2
7 163 1
169 97 1
300 8 1
105 276 1
204 264 1
75 209 1
130 133 1
195 139 1
29 249 2
134 5 1
129 82 1
43 147 2
222 131 1
104 73 1
27 221 1
254 222 2
278 212 2
204 18 1
109 77 2
88 22 1
72 205 2
263 203 1
60 279 2
93 22 1
119 165 2
143 65 1
116 275 1
196 11 1
136 20 2
170 236 1
237 275 1
186 223 1
187 13 1
47 40 1
60 252 1
8 205 2
139 65 1
211 287 2
134 199 1
150 263 1
248 157 1
126 34 2
147 191 1
279 176 2
216 107 2
289 26 2
224 7 2
271 164 2
198 114 2
169 192 2
187 154 2
3 59 1
38 208 1
151 47 2
276 60 2
239 36 1
174 9 1
293 179 1
155 240 1
85 213 1
133 256 1
64 184 1
251 253 2
285 293 1
274 150 2
194 143 1
38 79 2
118 248 1
90 70 2
178 24 2
32 251 1
266 163 2
26 160 1
72 186 1
20 285 2
45 221 2
284 85 1
297 215 2
99 223 2
72 174 2
159 239 1
244 174 2
103 188 2
234 143 1
22 257 1
289 270 2
257 263 1
32 242 2
99 171 1
181 43 1
91 214 2
36 112 1
183 16 1
66 255 1
46 74 1
120 224 2
98 189 2
19 245 2
212 160 1
248 296 1
208 222 1
285 247 1
208 4 1
256 58 2
63 76 2
195 125 2
33 181 2
139 250 2
239 300 2
148 293 1
106 101 2
90 268 2
291 45 2
102 44 1
240 77 2
165 297 2
264 244 1
225 138 1
208 179 2
216 71 1
67 298 1
65 264 2
295 225 2
191 120 1
204 257 1
208 55 1
139 59 2
212 288 1
275 238 1
215 189 2
258 280 2
229 54 1
280 164 2
74 21 1
144 146 1
145 213 1
59 258 2
240 122 1
246 78 2
276 191 2
87 90 1
277 67 2
234 273 2
157 197 2
177 190 1
238 209 2
7 60 1
280 121 2
10 275 1
235 205 1
134 279 2
21 105 2
289 33 2
56 266 1
221 11 2
65 173 2
27 40 1
97 259 1
202 37 1
187 231 2
13 49 1
154 182 2
66 161 2
149 238 2
251 34 2
138 151 2
143 110 1
37 209 2
168 56 1
284 244 2
60 40 1
108 225 2
200 56 2
5 6 1
226 155 2
299 258 2
84 46 2
270 163 1
5 33 1
174 248 2
283 118 2
125 288 2
175 220 1
292 43 2
247 185 1
47 214 1
82 173 1
256 59 2
195 51 1
98 260 1
35 30 1
22 85 1
115 212 1
62 2 2
153 136 2
227 291 2
33 122 2
287 163 1
269 186 2
169 149 2
262 147 1
154 256 1
230 65 1
164 268 2
12 93 2
86 270 1
175 233 2
268 292 2
177 81 2
222 280 2
132 95 1
136 198 2
171 121 2
148 120 2
99 9 2
137 121 2
80 9 2
235 15 1
225 282 1
20 75 1
256 23 1
132 164 1
55 135 1
141 61 2
42 291 2
9 168 2
271 110 2
18 108 2
279 190 1
187 48 2
59 286 2
237 81 2
124 111 1
102 164 2
281 107 1
175 138 1
241 271 2
115 161 2
276 149 2
173 273 1
146 128 1
133 157 2
266 70 2
89 128 2
28 220 2
104 241 2
72 293 1
178 171 2
97 126 1
180 232 2
148 238 2
204 267 1
274 264 2
64 190 1
189 36 2
197 49 2
121 139 1
164 205 1
68 107 1
220 283 2
226 14 2
258 268 1
244 294 2
57 16 1
280 21 2
285 239 1
258 52 2
104 239 1
120 196 1
26 41 1
25 174 1
175 75 2
96 206 1
13 74 1
139 87 1
1 169 1
1 16 2
96 242 2
187 11 1
206 224 1
183 89 2
248 283 2
115 83 1
225 193 2
152 81 1
12 5 1
219 273 1
41 78 1
265 218 2
25 58 1
29 192 1
291 40 1
180 175 1
208 267 2
185 43 1
286 235 1
132 268 1
153 188 2
26 195 1
250 177 2
12 142 1
243 130 2
276 86 1
104 213 2
26 121 2
95 167 1
22 217 1
255 267 1
167 142 2
14 205 2
58 265 1
248 125 1
13 35 2
207 228 2
205 48 1
143 133 1
203 286 2
22 256 1
154 23 2
179 236 1
215 246 2
162 74 1
37 46 2
139 102 2
246 252 1
85 151 1
159 67 1
56 188 2
142 108 2
196 229 1
191 11 1
99 284 1
83 209 1
282 46 1
150 97 2
89 30 1
65 63 2
245 185 2
260 124 2
225 213 1
97 192 2
188 134 1
119 165 1
127 157 2
174 241 1
70 145 1
263 225 1
179 65 1
162 175 1
218 103 2
15 63 2
51 149 2
185 219 1
216 169 2
121 27 2
212 13 1
283 122 1
147 55 2
266 190 2
218 75 1
230 141 1
179 135 2
2 221 1
107 131 1
77 154 2
238 130 1
242 195 2
271 41 1
193 209 1
266 297 1
145 55 1
266 88 1
182 121 1
3 263 1
174 193 2
285 223 1
64 54 2
172 122 2
159 117 1
199 297 2
59 268 2
82 32 2
159 36 1
67 105 1
207 51 2
129 35 2
218 132 1
112 75 1
122 183 2
62 177 2
24 269 2
45 295 2
61 68 2
29 251 1
251 2 1
144 201 1
55 286 2
207 51 2
84 32 1
23 17 2
240 297 2
201 123 1
268 176 2
67 169 2
29 118 1
254 159 2
164 61 1
254 277 2
17 238 1
114 259 2
231 293 1
268 182 2
104 1 2
205 97 1
180 24 1
237 149 1
45 2 2
75 299 1
163 102 2
110 59 2
102 127 1
188 88 2
62 47 2
109 188 2
187 31 2
152 269 2
153 266 2
267 105 1
191 154 2
141 137 2
268 114 2
227 84 2
162 221 1
22 49 2
45 5 2
280 105 1
102 71 1
253 84 2
12 18 2
224 277 1
150 61 1
103 293 1
296 117 2
183 149 1
62 26 1
70 253 1
35 178 2
58 271 1
23 240 1
158 162 2
148 157 2
288 83 2
170 243 1
268 162 1
265 191 2
131 198 2
84 145 2
15 292 2
78 210 2
9 127 2
243 291 2
134 131 1
207 67 1
159 231 2
181 188 2
237 195 1
222 89 2
200 9 1
64 264 1
5 176 2
182 229 1
218 65 2
32 272 2
5 58 2
26 38 2
269 179 1
252 251 1
122 268 2
211 109 2
273 18 1
237 24 1
175 268 2
132 115 2
10 186 2
270 285 2
261 25 2
173 101 1
213 54 2
85 255 1
107 216 1
193 36 1
35 94 1
49 208 1
229 146 2
149 94 1
3 117 1
10 15 2
249 9 1
62 279 2
220 88 1
59 128 2
18 230 2
123 153 2
259 206 2
33 73 1
187 202 2
272 237 1
249 26 1
96 244 2
18 53 1
138 98 2
99 43 1
61 90 2
210 71 1
68 95 2
123 234 1
196 260 2
190 243 2
17 164 1
217 262 1
293 111 2
230 186 1
42 21 1
200 198 1
48 140 2
133 38 1
297 172 2
238 179 2
76 252 1
92 252 1
275 231 2
68 262 2
284 123 2
226 136 1
95 87 2
217 252 1
62 259 1
265 170 1
180 47 2
35 63 1
222 83 1
299 110 2
173 286 2
79 259 1
127 76 1
243 257 1
31 144 2
273 199 1
50 83 1
43 260 2
142 145 1
67 115 1
94 201 1
65 119 1
88 280 2
142 275 1
290 268 2
34 79 2
97 77 1
274 1 2
71 136 1
224 112 2
101 233 1
184 205 2
82 247 2
130 213 2
41 177 1
299 173 2
188 42 1
206 180 2
197 244 2
106 188 2
76 201 1
139 243 2
161 190 1
156 270 1
146 13 2
113 64 1
247 249 1
6 178 2
205 99 1
272 78 2
52 259 1
83 41 2
209 24 2
280 251 1
140 93 2
44 207 2
69 136 2
123 152 1
216 73 2
44 221 2
214 231 1
14 67 1
289 261 1
258 141 2
126 209 1
61 238 2
74 154 1
165 153 2
14 231 2
188 258 1
188 78 2
114 19 1
96 198 2
212 47 2
190 200 1
279 170 1
123 92 2
269 32 2
143 236 2
148 143 2
27 141 2
249 293 1
135 181 1
163 191 1
72 1 1
211 26 1
276 29 2
223 251 2
228 23 1
54 166 2
142 280 1
17 230 1
142 67 2
287 29 1
72 281 2
296 50 1
251 65 1
90 28 1
218 105 2
184 269 1
276 210 2
235 180 2
148 217 2
88 221 1
222 190 2
89 176 1
213 298 2
9 142 2
180 182 1
262 298 1
181 19 2
102 257 1
42 12 2
22 256 1
132 277 1
164 11 2
138 278 1
277 205 1
156 298 1
279 59 2
298 82 1
9 237 2
60 75 2
50 82 2
215 136 2
165 151 2
26 271 1
215 3 2
167 272 2
250 94 2
37 64 1
130 129 2
56 22 1
204 106 1
12 197 1
20 36 1
4 273 1
107 174 1
188 276 1
95 263 1
198 296 2
246 188 2
139 120 2
289 282 2
185 250 2
85 16 2
240 54 2
248 250 1
199 79 1
230 143 2
290 140 2
254 281 2
216 35 1
175 33 1
108 89 1
291 210 2
91 186 2
75 127 1
49 186 1
147 90 1
107 43 1
259 215 1
170 128 2
86 263 1
40 11 2
249 1 1
164 194 1
239 19 2
219 238 1
34 283 2
63 12 1
84 212 1
234 191 1
50 142 2
233 99 1
273 61 1
232 125 2
125 91 1
267 208 2
214 229 1
188 220 1
80 167 2
271 19 2
153 63 1
194 287 1
176 102 1
138 213 1
73 95 1
262 251 1
225 124 1
177 164 2
180 275 1
112 263 1
215 206 1
253 141 2
212 214 1
60 225 1
41 88 1
105 218 2
42 221 1
296 211 1
52 167 2
33 79 1
169 187 2
226 171 1
138 222 2
13 158 2
212 266 1
15 285 2
241 250 2
250 299 1
223 198 1
106 291 2
276 248 1
160 245 1
84 217 2
291 22 2
58 222 2
115 15 1
79 196 2
239 103 2
202 226 1
274 118 2
91 152 1
44 256 1
134 88 1
109 276 2
296 231 2
262 31 1
300 51 1
285 293 2
104 46 2
111 280 1
105 203 2
299 221 2
98 59 2
14 246 2
271 5 1
158 112 2
235 81 2
260 104 2
147 266 2
180 220 1
201 167 1
106 185 2
16 89 2
243 207 1
197 59 2
64 26 2
55 64 2
252 38 1
166 116 1
223 300 2
284 190 2
24 75 2
274 66 2
60 254 2
228 260 2
82 37 1
90 221 1
273 107 1
128 210 1
15 22 1
260 193 2
137 277 1
282 101 2
259 267 2
13 127 2
57 300 2
274 8 2
202 229 2
21 4 1
284 48 1
59 26 1
275 38 1
19 200 1
243 20 2
221 218 2
196 172 2
30 158 2
243 50 2
15 169 2
241 221 1
255 273 2
116 113 2
59 33 1
282 197 2
288 160 1
40 66 2
